ClassId,Image,Category,CommonName,FamilyName,ScientificName,Height,Weight,Habitat,Lifespan,Description
0,Image/train/ABBOTTS BABBLER/001.jpg,Bird,Abbott's Babbler,Pellorneidae,Malacocincla abbotti,15 cm (6 inches),Varies,Tropical forests,Not Available Right Now,"Abbott's Babbler is a small bird found in Southeast Asia. Known for its distinctive white throat and chestnut-colored crown, it inhabits grassy areas and bamboo thickets. Often skulking on the ground in search of insects, it has a melodious and repetitive song that contributes to its recognition."
1,Image/train/ABBOTTS BOOBY/001.jpg,Bird,Abbott's Booby,Sulidae,Papasula abbotti,70-80 cm,3-4 kg,Tropical oceans,40 years,"Abbott's Booby is a large seabird native to Christmas Island and the Cocos (Keeling) Islands. Recognized for its striking black and white plumage, it is often found nesting on remote coral atolls. This vulnerable species faces threats such as habitat destruction and introduced species on its breeding islands."
2,Image/train/ABYSSINIAN GROUND HORNBILL/001.jpg,Bird,Abyssinian Ground Hornbill,Bucerotidae,Bucorvus abyssinicus,70-90 cm,2-4 kg,Savannahs and grasslands,Up to 40 years,"Abyssinian Ground Hornbill is a large bird native to the grasslands and savannas of Africa. Known for its distinctive long eyelashes and a casque on its bill, it forages on the ground for various food items. This species is monogamous and exhibits interesting behaviors, such as cooperative breeding within family groups."
3,Image/train/AFRICAN CROWNED CRANE/001.jpg,Bird,African Crowned Crane,Gruidae,Balearica regulorum,100-120 cm,3.5-4 kg,"Wetlands, grasslands, and savannahs",22 years,"The African Crowned Crane is a stunning bird with a crown of golden feathers on its head. Native to wetlands and grasslands in Africa, it is recognized for its elaborate courtship dances and impressive displays. This crane is a symbol of elegance and is considered a national bird in some African countries."
4,Image/train/AFRICAN EMERALD CUCKOO/001.jpg,Bird,African Emerald Cuckoo,Cuculidae,Chrysococcyx cupreus,20 cm,25-40 g,Forests and woodlands,Not Available Right Now,"The African Emerald Cuckoo is a small, vibrantly colored bird found in sub-Saharan Africa. With its iridescent green plumage, it is often challenging to spot in dense foliage. This cuckoo is known for its parasitic nesting behavior, laying eggs in the nests of other bird species. It primarily feeds on insects and caterpillars."
5,Image/train/AFRICAN FIREFINCH/001.jpg,Bird,African Firefinch,Estrildidae,Lagonosticta rubricata,9-11 cm,7-13 g,Grasslands and open habitats,5-8 years,"The African Firefinch is a colorful bird native to sub-Saharan Africa. With vibrant plumage and a distinctive call, it is often found in grassy habitats and savannas. Males are particularly striking with their bright red plumage. These finches are social birds often seen in flocks."
6,Image/train/AFRICAN OYSTER CATCHER/001.jpg,Bird,African Oystercatcher,Haematopodidae,Haematopus moquini,40-45 cm,400-800 g,Coastal areas and estuaries,Up to 20 years,"The African Oystercatcher is a shorebird found along the coastlines of southern Africa. With its black and white plumage, it is easily distinguished. These birds feed on mollusks and other invertebrates found on rocky shores. Conservation efforts are in place to protect their coastal habitats."
7,Image/train/AFRICAN PIED HORNBILL/001.jpg,Bird,African Pied Hornbill,Bucerotidae,Tockus fasciatus,45-55 cm,150-230 g,"Woodlands, savannahs, and grasslands",Not Available Right Now,"The African Pied Hornbill is a medium-sized bird characterized by its black and white plumage and a large casque on its bill. Found in sub-Saharan Africa, it inhabits woodlands and savannas. This hornbill is known for its unique nesting behavior, often sealing the female inside the nest cavity during incubation."
8,Image/train/AFRICAN PYGMY GOOSE/001.jpg,Bird,African Pygmy Goose,Anatidae,Nettapus auritus,26-30 cm,250 g,Wetlands and shallow waters,Not Available Right Now,"The African Pygmy Goose is a small waterfowl species found in sub-Saharan Africa. With its striking black and white facial markings, it is easily identified. These ducks inhabit freshwater wetlands and are known for their agile flight and feeding habits, often dabbling at the water's surface for food."
9,Image/train/ALBATROSS/001.jpg,Bird,Albatross,Diomedeidae,Various species,2-3.5 m,5-12 kg,Open oceans,Up to 60 years,"The Albatross is a group of large seabirds known for their impressive wingspans. They are found in various oceans and are skilled gliders, covering vast distances during their foraging flights. Albatrosses are known for their elaborate courtship displays and are a symbol of endurance and freedom on the open sea."
10,Image/train/ALBERTS TOWHEE/001.jpg,Bird,Albert's Towhee,Emberizidae,Pipilo aberti,20 cm,Varies,Shrublands and grasslands,Up to 8.6 years,"Albert's Towhee is a bird species found in Mexico and the southwestern United States. With its distinctive black plumage and rusty markings, it is easily identified. These towhees are ground-dwelling birds that forage for insects and seeds in dense vegetation. Conservation efforts focus on preserving their arid habitats."
11,Image/train/ALEXANDRINE PARAKEET/001.jpg,Bird,Alexandrine Parakeet,Psittaculidae,Psittacula eupatria,58-62 cm,200-300 g,Tropical forests and woodlands,15-20 years,"The Alexandrine Parakeet is a vibrant and medium-sized parrot species native to South and Southeast Asia. Known for its bright green plumage and a distinctive rose-colored ring around its neck, it is a popular bird in aviculture. Alexandrine Parakeets are social birds that often form large flocks in the wild."
12,Image/train/ALPINE CHOUGH/001.jpg,Bird,Alpine Chough,Corvidae,Pyrrhocorax graculus,35-39 cm,200-300 g,Alpine regions and rocky habitats,20 years,"The Alpine Chough is a bird species inhabiting high mountainous regions of Eurasia, including the Alps and the Himalayas. With its black plumage and yellow beak and legs, it is well-adapted to alpine environments. These choughs are often seen in groups, displaying acrobatic flight over mountainous landscapes."
13,Image/train/ALTAMIRA YELLOWTHROAT/001.jpg,Bird,Altamira Yellowthroat,Parulidae,Geothlypis flavovelata,13 cm,Varies,Wetlands and marshes,Not Available Right Now,"Altamira Yellowthroat is a bird species found in Mexico and Central America. With its bright yellow plumage and black mask, it inhabits wetland areas with dense vegetation. These yellowthroats are known for their distinctive and repetitive songs, often heard in the marshy habitats they frequent. Conservation efforts aim to protect their wetland homes."
14,Image/train/AMERICAN AVOCET/001.jpg,Bird,American Avocet,Recurvirostridae,Recurvirostra americana,44-64 cm,270-420 g,Shallow lakes and salt flats,7-15 years,"The American Avocet is a distinctive shorebird found in North and South America. Recognized for its long, upturned bill and black-and-white plumage, it forages in shallow waters for small invertebrates. American Avocets are known for their elaborate courtship displays, involving synchronized movements and calls."
15,Image/train/AMERICAN BITTERN/001.jpg,Bird,American Bittern,Ardeidae,Botaurus lentiginosus,63-76 cm,420-800 g,Marshes and wetlands,6 years,"The American Bittern is a solitary and secretive heron found in wetlands across North America. With its mottled brown plumage, it camouflages well among reeds. These bitterns are known for their booming calls during the breeding season. Conservation efforts focus on protecting their wetland habitats from degradation."
16,Image/train/AMERICAN COOT/001.jpg,Bird,American Coot,Rallidae,Fulica americana,34-43 cm,"427-1,200 g","Lakes, ponds, and marshes",10-15 years,"The American Coot is a waterbird found in North America. With its dark plumage and distinctive white bill and forehead shield, it is often seen in freshwater lakes and ponds. American Coots are proficient swimmers and divers, feeding on aquatic plants and small invertebrates. They are social birds, often seen in large flocks."
17,Image/train/AMERICAN DIPPER/1.jpg,Bird,American Dipper,Cinclidae,Cinclus mexicanus,16.5-22 cm,43-90 g,Fast-flowing streams and rivers,5-8 years,"The American Dipper is a unique aquatic songbird found in North America. With its dark plumage and distinctive habit of bobbing up and down, it forages for aquatic insects in fast-flowing streams and rivers. American Dippers are well-adapted to their aquatic lifestyle, with specialized features for underwater foraging."
18,Image/train/AMERICAN FLAMINGO/001.jpg,Bird,American Flamingo,Phoenicopteridae,Phoenicopterus ruber,120-145 cm,2-4 kg,Coastal lagoons and salt flats,20-30 years,"The American Flamingo is a large wading bird found in the Americas, including the Caribbean and Galápagos Islands. Recognized for its pink plumage and distinctive long, curved bill, it is often seen in shallow lagoons and estuarine areas. American Flamingos are social birds that live in large colonies, and their pink coloration is influenced by their diet."
